year(date),below_105,below_150,above_830,no_ship
2000,0.0,0.0,0.0,0.0
2001,0.0,0.0,4.0,4.0
2002,0.0,0.0,0.0,0.0
2003,64.0,135.0,5.0,69.0
2004,0.0,36.0,0.0,0.0
2005,26.0,64.0,0.0,26.0
2006,8.0,59.0,0.0,8.0
2007,0.0,25.0,0.0,0.0
2008,0.0,2.0,0.0,0.0
2009,31.0,74.0,0.0,31.0
2010,0.0,1.0,0.0,0.0
2011,56.0,127.0,2.0,58.0
2012,0.0,12.0,0.0,0.0
2013,0.0,8.0,0.0,0.0
2014,0.0,34.0,0.0,0.0
2015,64.0,127.0,0.0,64.0
2016,35.0,88.0,0.0,35.0
2017,26.0,73.0,0.0,26.0
2018,123.0,147.0,1.0,124.0
2019,2.0,32.0,0.0,2.0
2020,17.0,114.0,0.0,17.0
2021,17.0,70.0,0.0,17.0
